127.0.0.1 - - [24/Mar/2025:09:13:33 +0900] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [24/Mar/2025:09:13:35 +0900] "GET /Project1_mvc1_milk/milk.jsp HTTP/1.1" 200 5410
0:0:0:0:0:0:0:1 - - [24/Mar/2025:14:41:21 +0900] "GET /Project1_mvc1_milk/jsp015.jsp HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [24/Mar/2025:14:41:24 +0900] "GET /Project1_mvc1_milk/jsp015.jsp HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [24/Mar/2025:14:42:11 +0900] "GET /Project1_mvc1_milk/jsp015.jsp HTTP/1.1" 200 819
0:0:0:0:0:0:0:1 - - [24/Mar/2025:14:43:12 +0900] "GET /Project1_mvc1_milk/jsp015.jsp HTTP/1.1" 200 926
0:0:0:0:0:0:0:1 - - [24/Mar/2025:14:52:26 +0900] "GET /Project1_mvc1_milk/jsp015.jsp HTTP/1.1" 200 2141
0:0:0:0:0:0:0:1 - - [24/Mar/2025:14:56:28 +0900] "GET /Project1_mvc1_milk/jsp015.jsp HTTP/1.1" 200 2152
0:0:0:0:0:0:0:1 - - [24/Mar/2025:14:56:28 +0900] "GET /favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2025:14:57:36 +0900] "GET /Project1_mvc1_milk/jsp015.jsp HTTP/1.1" 200 2157
0:0:0:0:0:0:0:1 - - [24/Mar/2025:14:58:51 +0900] "GET /Project1_mvc1_milk/jsp015.jsp HTTP/1.1" 200 2140
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:00:58 +0900] "GET /Project1_mvc1_milk/jsp015.jsp HTTP/1.1" 200 2326
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:00:59 +0900] "GET /Project1_mvc1_milk/jsp015_checkbox.jsp?username= HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:01:02 +0900] "GET /Project1_mvc1_milk/jsp015_checkbox.jsp?username= HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:04:58 +0900] "GET /Project1_mvc1_milk/jsp015.jsp HTTP/1.1" 200 2582
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:04:59 +0900] "GET /Project1_mvc1_milk/jsp015_checkbox.jsp?username= HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:08:06 +0900] "GET /Project1_mvc1_milk/jsp015.jsp HTTP/1.1" 200 2618
